time,text,mode,size,color,user,dmid,likes
2390.86,《出去揍揍》,5,25,15138834,72970292,1090472895576269568,0
806.266,您的好友【磨豆机】上线,5,25,52480,194dd142,1087851194128395008,0
506.989,备备：我叹口气关你屁事,5,25,14811775,4d8c30,1084326765289080832,0
995.789,二爷啊，你这一生对得起兄弟对得起江山，但你对得起你的绿豆吗！！！,5,25,52480,1d6940b3,1068608310225232640,0
830.409,关羽：（思索片刻）.....上好的豆粉，买一些吧,5,25,15138834,f1d27e83,1065295091729433344,0
1288.256,刘备：那就是我传出去的,1,25,16776960,86736b15,1052134578543872256,0
1339.237,28岁，在古时候已经算是中老年人了，寿命都不长,5,25,41194,20c5eb3f,37150168380866563,0
1339.043,把这段翻译成人话：老子想创业可惜没钱,1,25,16777215,a354517c,35873365123661829,0
1383.501,哈哈哈哈哈哈哈飞飞公主太好拐了,5,25,16707842,62fa52c4,35388582987300869,0
1563.426,刘备关羽之手皆成粉状，全剧终,5,25,16777215,f1afc37a,1068262903486061824,0
25.223,《西游记》过来+1,5,25,16646914,c110041e,1252325127409084672,0
1772.079,这是184年，诸葛亮生于181年，才三岁,5,25,16707842,e14d1df4,1245587611708382464,0
1930.341,我们无路可退！因为身后就是莫斯科！,5,25,15138834,d91698f,1278600183881760256,0
1368.14,给忽悠瘸了,1,25,16777215,64aebdd8,1313180300553241344,0
1535.908,一直觉得张飞和二哥亲一些,1,25,16777215,69c880b0,1313177921476888064,0
1477.62,欧皇刘备是这样的,1,25,16777215,69c880b0,1313177347956182528,0
1406.71,刘备真厉害,1,25,16777215,69c880b0,1313176413053947392,0
1395.458,轮到二哥尴尬了,1,25,16777215,69c880b0,1313176208799929600,0
1364.216,这戏不能唱这么快啊,1,25,16777215,69c880b0,1313175880452925952,0
1572.834,三分天下 十里桃花,1,25,16777215,fb84a643,1313175847074598912,0
507.026,唉，换个肩挑,1,25,16777215,9fc593e0,1313174374865780480,0
996.188,青梅煮酒了？,1,25,16777215,d34c3307,1313173992412392704,0
1700.833,这是184年，诸葛亮生于181年，应该3岁了,5,25,16776960,e14d1df4,1313171696877903872,0
935.464,刘皇叔臂力惊人啊,1,25,16777215,9338561d,1313156298866481408,0
2365.758,你他妈故意找茬是不是,1,25,16777215,a27ae0fb,1313154885679737344,0
465.127,红桃闪来喽,1,25,16777215,28868a35,1313148169701478912,0
1683.028,主公，一共300抽，出了3把ssr,1,25,16777215,aa11b2a2,1313147826506680064,0
410.338,看着吧，这改变乱世的力量,1,25,16777215,28868a35,1313147571912360960,0
2048.793,三国版变色龙,1,25,15138834,a8372348,1313143728311176704,0
985.81,俺也一样,1,25,16777215,c6169b14,1313133613302666240,0
420.989,火杀,1,25,16777215,c6169b14,1313129535256319232,0
2150.999,我举报，皇叔他野三坡偷玉米了,5,25,16777215,a684371f,1313113778531091712,0
286.417,弹幕呢,1,25,16777215,9e43a23d,1313110436719522304,0
2380.607,历史上是刘备打的,1,25,16777215,b8803105,1313102962755037952,0
2376.493,历史g,1,25,16777215,b8803105,1313102804470451968,0
2076.189,九品中正制是曹丕确立的，读读书吧！,1,25,16777215,b8803105,1313101059513662976,0
1381.956,钞票钞票 刘备开始骗钱了,1,25,16777215,93add221,1313067849761453312,0
2613.549,靠人情得了个别部司马,1,25,16777215,124c5f70,1313060456755177216,0
584.148,请收下我的膝盖,1,25,16777215,ffdf4ef5,1313048465919488000,0
1069.757,俺也一样,1,25,16777215,fd7e3315,1313042140447928064,0
2431.57,喝酒不开车，开车不喝酒！,1,25,16777215,befa253b,1313036586585380608,0
244.508,二遍,1,25,16777215,da112ba3,1313032826785961472,0
2039.976,正统血脉的助力,1,25,16777215,befa253b,1313031015677207808,0
1918.93,马的演技比小鲜肉好,1,25,16777215,befa253b,1313028767010194176,0
2267.622,想刀一个人的眼神是藏不住的,1,25,15138834,24f18acb,1313027998311554816,0
352.239,雷公助我！,1,25,16777215,e166773f,1313025677779526400,0
1580.092,刘欢？,1,25,16777215,befa253b,1313019786921462784,0
1382.951,完了，我想起了那个鬼畜……,1,25,16777215,befa253b,1313017073433420544,0
1138.942,刘备:打工还不如当老板,1,25,16777215,24f18acb,1313016673254698240,0
1240.871,弹幕笑死人了,1,25,16777215,befa253b,1313015438392832000,0
1131.218,就好比49年入国军,1,25,16777215,befa253b,1313013730111563008,0
822.046,你是故意找茬是不是,1,25,16777215,24f18acb,1313012711197755392,0
1006.397,过几天吃绿豆芽,1,25,16777215,befa253b,1313012315666321152,0
1586.426,感动，梦开始的地方,1,25,16777215,e55021d7,1312989229839727872,0
1514.505,俺也一样！,1,25,16777215,e55021d7,1312988589193423104,0
2348.177,这是不是大喊“畜生啊！出生”那个,1,25,16777215,b914db29,1312987828841485312,0
1326.754,我提老刘尬的开始抠脚趾了,1,25,16777215,fe8e994d,1312975943769276160,0
703.85,都看看群演表情 吊打现在好多演技,1,25,16777215,eebdfd8d,1312973108822577408,0
657.439,这演技真的没的说,1,25,16777215,eebdfd8d,1312972719507214592,0
479.779,刘焉，刘琦之父，谁能想若干年后刘邦入川,1,25,15138834,fcb5608d,1312966090602788352,0
77.439,慎批,1,25,16777215,cf76fd7,1312964343331238400,0
940.811,二位买双草鞋吧，十个铜板三双。,1,25,15138834,e73dbdb7,1312959503381413632,0
1614.278,这俩都让刘总套路了哈哈,1,25,16777215,3ecab2ab,1312955422650912768,0
1904.273,白骨露於野,1,25,16777215,db744a7d,1312948154257257216,0
903.002,以前没电视看，这是为数不多的娱乐节目,1,25,16777215,213d9642,1312947322258587392,0
1431.302,刘备穿的喇叭裤吗,1,25,16777215,fbbffd49,1312943552896366080,0
736.256,只是因为在人群中多看了你一眼,1,25,16777215,648b4349,1312941651375026176,0
585.065,挪~~开？,1,25,16777215,5a10a7c7,1312936164872885248,0
1548.362,真好忽悠,1,25,16777215,8dd813d6,1312929558961413888,0
1701.906,至今都不知道汉室是如何衰落的,1,25,16777215,e175a349,1312924925388181760,0
1777.321,曹老板还没有老奸巨猾,1,25,16707842,a24de9d6,1312912929082939904,0
1508.256,俺也一样！,5,25,16777215,404c771d,1312901241176767488,0
910.236,不分上下,1,25,16777215,b3a5b3da,1312785929576023040,0
183.757,看我发现了什么？,1,25,16777215,b3a5b3da,1312780220633271296,0
1412.791,刘备玩霰弹,1,25,16777215,a590ee6e,1312702798638694144,0
307.436,Andy,5,25,15138834,19c29c40,1312657899537210624,0
774.882,买豆粉的来了,1,25,16777215,e76fb05e,1312646634718750464,0
89.559,好剧多看,1,25,16777215,671759df,1312625238374152960,0
1157.564,俩小粉红,1,25,16777215,1b69a488,1312611590117548288,0
921.276,直接红温,1,25,16777215,1b69a488,1312610540845248512,0
1789.369,马：so？,1,25,15138834,9b646f8a,1312607890548304640,0
962.309,刘备真人真的很能打的,1,25,16777215,9b127a3d,1312603078289016064,0
1191.097,守备指守护刘备,1,25,15138834,9b646f8a,1312601863015062272,0
347.674,生在帝王家已经是很好的命运了，生在贫民之家就得在死亡线上挣扎,1,25,16777215,4b009ac,1312601639810535936,0
1151.033,备备打开了抽卡界面,1,25,15138834,9b646f8a,1312600746054769664,0
2331.291,刘备平时施仁政爱民如子 哪来的告状的,1,25,16777215,abc753fc,1312600617348643584,0
853.519,关羽：你tm磨我豆子是吧,1,25,15138834,9b646f8a,1312595321527858688,0
1452.49,嘌呤半升,1,25,16777215,abc753fc,1312594622824220416,0
765.574,织席贩履,1,25,16777215,abc753fc,1312588763213818624,0
467.132,穿上草鞋，那么必然是飞一般的感觉,1,18,15138834,9b646f8a,1312588581952781312,0
449.935,屑陛下,1,18,15138834,9b646f8a,1312588257338485248,0
1908.236,将军百战死，壮士十年归,1,25,16777215,e930c774,1312586839513021440,0
499.31,只恨财力不足,1,25,16777215,abc753fc,1312586524327419136,0
307.428,PDD,1,25,16707842,9b646f8a,1312586118134280960,0
353.684,大贤良师上线,1,25,16777215,abc753fc,1312585184499059200,0
240.931,神器更易，归于一统,1,25,16777215,abc753fc,1312583842095667456,0
505.353,舍万乘躯，赴桃园义，可为大丈夫,1,25,16777215,9eb85e40,1312583497944384000,0
1408.049,这可是原始股 什么叫做小弟,1,25,16777215,e930c774,1312582328664638720,0
1425.237,新手大礼包,1,25,16777215,c1c2caf3,1312581620464944384,0
1420.634,哈哈哈哈哈哈哈,1,25,16777215,c1c2caf3,1312581068259569920,0
2541.378,社会我二爷，人狠话不多,5,25,10546688,cb72e77f,1312575942098808832,0
2528.274,不可鲁莽,5,25,10546688,cb72e77f,1312575832224630528,0
2504.622,二位爷可还行,5,25,10546688,cb72e77f,1312575633825857280,0
2468.282,哈哈哈哈哈哈,5,25,10546688,cb72e77f,1312575328866480384,0
2456.138,老百姓拱火,5,25,10546688,cb72e77f,1312575227280329984,0
531.988,三爷霸气,1,25,16777215,e930c774,1312574739734331392,0
2232.426,县令也喜欢刘备,5,25,10546688,cb72e77f,1312573887233833728,0
2194.615,哥仨寝则同床,5,25,10546688,cb72e77f,1312573570303779840,0
2169.324,我欲行贿，但财力不足！,5,25,10546688,cb72e77f,1312573359615243520,0
2036.109,为啥不说白身了,5,25,10546688,cb72e77f,1312572240558037504,0
1925.047,这就是传说中的血光冲天吧,5,25,10546688,cb72e77f,1312571310966409728,0
1891.746,白嫖？哼！,5,25,10546688,cb72e77f,1312571029436467712,0
1878.039,？,5,25,10546688,cb72e77f,1312570914537550080,0
1835.396,问：三十岁看合适吗？,5,25,10546688,cb72e77f,1312570557006818048,0
1780.662,腮红版曹老板,5,25,10546688,cb72e77f,1312570097118205952,0
1748.164,曹老板要上线了,5,25,10546688,cb72e77f,1312569824957819392,0
1737.982,二爷最帅！,5,25,10546688,cb72e77f,1312569739453002240,0
1689.873,谁还记得这都是三爷出的钱,5,25,10546688,cb72e77f,1312569335163762176,0
1660.887,丈八蛇矛,5,25,10546688,cb72e77f,1312569092733358336,0
1557.956,三个人都觉得自己赚大了,5,25,10546688,cb72e77f,1312568229545516800,0
944.956,一龙分二虎,1,25,16777215,f19d4c81,1312568086964469248,0
1527.09,张飞：你不是武夫吗？这么能说,5,25,10546688,cb72e77f,1312567970236878080,0
1504.395,开始了,5,25,10546688,cb72e77f,1312567779907469824,0
1477.475,哈哈哈哈哈,5,25,10546688,cb72e77f,1312567554052806656,0
1436.641,开局一张图，其他全靠编,5,25,10546688,cb72e77f,1312567211931979520,0
1399.978,二爷本剧唯一一次自卑,5,25,10546688,cb72e77f,1312566905395428096,0
1388.666,哈哈哈哈笑死了,5,25,10546688,cb72e77f,1312566808666292480,0
1372.666,老张已经被骗到了,5,25,10546688,cb72e77f,1312566674985102848,0
1355.84,贵人就是在下,5,25,10546688,cb72e77f,1312566533721236736,0
1331.78,贫穷没有让我失去志气,5,25,10546688,cb72e77f,1312566331950142464,0
1307.707,只恨财力不足,5,25,10546688,cb72e77f,1312566130153820416,0
1289.126,这话就是刘备传出去的,5,25,10546688,cb72e77f,1312565974142183424,0
1245.593,《我有一个朋友》,5,25,10546688,cb72e77f,1312565609170840320,0
1230.258,刘备：上勾了,5,25,10546688,cb72e77f,1312565480111750144,0
1191.859,关张：不明觉厉,5,25,10546688,cb72e77f,1312565157695698432,0
1169.589,梦开始的地方,5,25,10546688,cb72e77f,1312564971384948480,0
1146.442,是时候展示真正的技术了,5,25,10546688,cb72e77f,1312564777372965120,0
1128.424,政审就过不了,5,25,10546688,cb72e77f,1312564625866660352,0
1082.773,什么样的早市，能同时培养出刘关张,5,25,10546688,cb72e77f,1312564242381250304,0
