time,text,mode,size,color,user
1819.87100,黄巾都是吃不上饭的农民工,1,25,16777215,a0d01596
869.99400,张飞不够他打应该,1,25,16777215,a0d01596
826.71400,煲绿豆粥了,1,25,16777215,a0d01596
1365.60400,先来两斤猪肉让我吃个痛快,5,25,15138834,1df53416
1304.18600,所以我想吃猪肉，喝绿豆汤,5,25,15138834,1df53416
1208.44100,武则天：当然是我的啊,5,25,16707842,1df53416
1384.72100,名场面,1,25,16777215,c3222bd8
475.68700,幽州？狄仁杰,1,25,16777215,c3222bd8
2530.20800,三弟不可鲁莽，让我来鲁莽,1,25,14811775,cf689906
1853.83700,三英也战了张角啊,1,25,16777215,f493f15d
1575.39500,有一天公司同事汇报工作的时候，到我，我也连说了三次“俺也一样”经理说你丫看三国了吧,1,25,16777215,f493f15d
686.48100,趁着取肉的功夫，众兄弟快去偷豆粉,5,25,15138834,1df53416
561.59300,管闲事的来了，好好卖豆粉不好么（狗头）,5,25,15138834,1df53416
1171.88300,《我就是皇帝，我就是天！》,1,25,16777215,cf689906
1018.80500,豆呢,5,25,9487136,cf689906
949.70600,杠杆原理,1,25,16777215,52b1fb24
385.47100,杀我神将,1,25,16777215,cf689906
348.65100,汗流浃帝,1,25,16777215,cf689906
1380.73000,先生助我成就奇人,1,25,16777215,67fee86b
985.70000,俺颇有家资,1,25,16777215,67fee86b
790.37700,给我磨十斤绿豆,1,25,16777215,5c0be1ca
515.15400,爱兵如子张翼德,1,25,15138834,5c0be1ca
1093.19400,关羽不是一开始脸红的，是在逃亡的过程中生活变红的，反而不好认出来了,1,25,15138834,28769fa8
1309.24400,刘备流泪第一次,1,25,16777215,bafe2cc5
730.82700,店员：6,5,25,16776960,25323eaa
1518.94000,俺也一样,1,25,16777215,5f7db647
490.94800,钢铁雄心4 模组：东汉末年  超事件：幽州屯兵,5,25,16776960,25323eaa
1222.20300,俺也一样,1,25,16777215,76417fe9
939.90300,刘备：要不是这两个拖后腿我早将吕布斩于马下,1,25,16777215,63baf171
2526.27300,卖官鬻爵,1,25,16777215,8f1ad369
1895.59500,发如韭，剪复生；头如鸡，割复鸣,1,25,16777215,7649405
1395.74100,卧槽这么好骗？,1,25,16777215,4732cbf6
2001.55700,哈哈哈,1,25,16777215,5c4473d3
1278.22100,住隔壁林屯乡的？,1,25,16777215,7649405
357.37100,苍天已死黄天当立,1,25,16777215,4732cbf6
908.84500,毕竟卖猪肉的，有光可以理解,1,25,16777215,7649405
244.84500,有个穿皮鞋的哈哈哈,1,25,16777215,4732cbf6
808.53400,翼德乐呵呵的磨豆子了。。。,1,25,16777215,7649405
1514.99300,俺也一样,1,25,16777215,b438f66b
82.79900,来了 来了 来看经典了！,1,25,16777215,49636143
1134.27500,?,1,25,16777215,e2968070
1512.81900,俺也一样X3,1,25,16777215,cb192d4
1506.33800,俺也一样X3,1,25,16777215,cb192d4
1465.12200,飞：俺也一样！,1,25,16777215,cb192d4
1234.94000,飞：俺也一样！,1,25,16777215,cb192d4
1226.88500,飞：俺也一样！,1,25,16777215,cb192d4
1518.04700,经典场面,1,25,16777215,58d72011
1173.59700,《红黑树》,1,25,16777215,db59cd9d
1569.25500,没看出这三位情谊根基是个啥，关张好像两个二傻子被耍,1,25,16777215,cc1e54a
859.64300,张提辖拳打镇关西,5,25,16707842,5af1ee0
1541.47900,笑死我了,1,25,16777215,40904afa
217.60800,。,1,25,16777215,268f5525
1486.03400,俺也一样的名场面是不是就在这里？,1,25,16777215,241d6e7
918.59100,人性如此喜欢看热闹,1,25,16777215,4a08d578
1600.18700,2023、4、28表白周佳晨,1,25,16646914,4d384c4
1339.78100,刘备要真不是汉室宗亲那对他的合法性是致命打击,1,25,16777215,f0a76516
2083.31700,有血有汗打出来的,1,25,16777215,e166b6b8
433.69700,大聪明,1,25,16777215,f0a76516
250.09700,剑履上殿是篡位起手式,1,25,16777215,f0a76516
233.99600,张晨曦到此一游,1,25,16777215,31102479
1177.24300,都是中文，一句没懂,5,25,15138834,ef87778c
1222.12300,听君一席话如听一席话。,1,25,16646914,2347be4e
1508.31300,俺也一样！,1,25,16777215,75e4c70e
1163.96500,难道太平盛世就不出英雄了？你是不是对太平盛世有意见？,1,25,16777215,ffe38c85
1331.74100,要上贼船了,1,25,16777215,75e4c70e
229.92500,我就想看看颇有佳姿的飞飞,1,25,16777215,2347be4e
1256.76100,《我有一个朋友》,5,25,15138834,8b1cde48
1085.36800,老通缉犯了,1,25,16777215,b4819edb
941.33800,大哥就是大哥,1,25,16777215,4bba2c44
1559.57500,该拜关公了,1,25,16777215,ea1e99a4
1790.68000,曹老板,1,25,16777215,b802318e
1156.09400,乱实则非常乱,5,25,16777215,4363803a
1033.82300,在下刘备，刘备的刘，刘备的备,5,25,16777215,4363803a
1521.69600,俺也一样,1,25,16777215,326ba696
1510.82700,俺也一样,1,25,16777215,326ba696
180.41200,梦开始的地方,1,25,16777215,a2704174
471.39600,汉室衰微，朝纲祸乱，必图后福,1,25,11890,692484b9
465.29500,汉室衰微，朝纲祸乱，必图后福,1,25,38979,692484b9
457.10500,刘焉：汉室衰微，朝纲祸乱，必图后福。,1,25,38979,692484b9
1818.83700,关东有义士，举兵讨群凶,1,25,16777215,5e8e8ac7
126.22600,孙十万,1,25,16777215,7709b03c
115.73000,曹贼,1,25,16777215,7709b03c
99.17500,丞相千古,1,25,16777215,7709b03c
2134.21600,现在巡视组也伸手要钱,1,25,16777215,b2ef2f5
79.80500,刘皇叔,1,25,16777215,7709b03c
64.40200,都是水,1,25,16777215,7709b03c
591.90900,二爷跟伙计一对比，像个巨人一般,1,25,38979,e166b6b8
2059.97100,气质真好,1,25,16777215,b2ef2f5
2348.01900,皇叔大哥魅力满值的,1,25,16777215,b0c9d508
1352.95900,能打动人的都是心里话，他确实是心怀天下的,1,25,16777215,b0c9d508
1234.83200,张飞善书法有史实依据吗，好像是杨慎杜撰的吧,1,25,16777215,7f909afa
1234.83200,张飞善书法有shj,1,25,16777215,7f909afa
381.47100,盗跖庄蹻流誉后，更陈王奋起挥黄钺,1,25,16777215,4c4fb650
804.00600,1,1,25,16777215,25ee610f
670.21100,肉是你的我又不是你的，凭什么叫我做事哼～,1,25,16777215,c7277625
1702.56300,贴满爆反（,1,25,16777215,860c335b
2623.42900,这个都游真的死了 有框,1,25,16777215,2cab2bc0
940.67400,可见摔阿斗的时候没使劲,1,25,16777215,7e2fa8ad
1530.04000,为什么他们三在哭，而我在笑,1,25,16777215,f0aadbc0
2044.15200,牛逼，懂了，什么叫出身门第，出门在外身份是自己给的,1,25,16777215,3e0326da
1322.63500,哈哈哈,1,25,16777215,140ca060
815.71100,6,1,25,16777215,a2620117
1329.59100,演义本来就是贬低曹操 夸蜀汉 诸葛的,1,25,16777215,19b0a37a
1297.23100,不信谣不传谣,1,25,16777215,19b0a37a
1084.94100,俺也一样,1,25,16777215,19b0a37a
728.98300,汉代没多少吃猪肉吧,1,25,16777215,19b0a37a
943.08900,昭烈帝开玩笑的？昭烈剑法没失传,1,25,16777215,2099c49e
724.69000,武财神,5,25,16646914,26b07e4
403.29300,无罪，有理,1,25,16777215,44d7266d
1930.74000,魔化张角,5,25,16646914,8f129c91
2016.98000,张飞打都邮,1,25,16777215,7b60492b
358.61400,狗子开始吃人了  哈哈,1,25,16777215,48aaedef
296.79900,一举击垮豆太厚？,1,25,16777215,48aaedef
903.45000,红 与 黑,5,25,16646914,8f129c91
830.03300,关羽：上好的豆粉，买些吧,5,25,38979,c6c8c5a2
1097.46300,赚得关羽上梁山,1,25,16777215,1c33a169
987.72600,还有庄子啊，这是庄主呢,1,25,16777215,1c33a169
1696.32700,青龙半月刀又称冷艳锯,1,25,16777215,963ffac4
1587.68200,怎么看不到弹幕,1,25,16777215,407bb241
864.28400,关羽跟张飞比持久是比不过的，又秒不掉张飞，不好打,1,25,16777215,23b7558b
1893.08200,董卓人好一点就一统大汉了,1,25,16777215,fd35f951
2259.72800,三十余战,5,25,15138834,be06370
1444.28300,梦开始的地方,1,25,16777215,f7d9cab3
1101.59600,俺老张恨不得杀尽天下人,1,25,16777215,42eb897a
1337.39400,传销讲师级发言,1,25,15138834,464b5ddf
467.14800,刘备已上线,1,25,16777215,14ee6617
1501.99300,张飞.exe未响应,5,25,41194,285a9a12
1169.19100,早期创业二词的意思,1,25,16777215,a757b52f
2305.66800,自 我 介 绍,1,25,16777215,3b9c224c
2060.96400,整个楼桑村全是汉室宗亲，你拿一块砖从楼桑村砸下去，能砸死七八个汉室宗亲,5,25,41194,93f5b44a
493.41900,俺颇有家资,1,25,16707842,af4597df
1960.65700,角色：孙坚，曹操；关系：敌视,5,25,41194,93f5b44a
1874.12900,角色：董卓；关系：轻蔑,5,25,41194,93f5b44a
1862.01200,角色：董卓；关系：亲近,5,25,41194,93f5b44a
1803.60100,解锁角色：董卓；关系：听说,5,25,41194,93f5b44a
1772.83600,伐什么董卓，这会儿和董卓还是同一个阵营，现在是董卓在被追杀，孙坚曹操突然冲出来救人,5,25,41194,93f5b44a
1763.87600,解锁角色：曹操；关系：听说,5,25,41194,93f5b44a
1460.02200,不是，那时候是没有诈骗吗？,1,25,16777215,22e9b986
1757.82000,关系列表解锁角色：孙坚；亲密度：听说,5,25,41194,93f5b44a
1329.86800,不是，他们就呆呆地看着他演啊？,1,25,16777215,22e9b986
1587.66200,拜的是天地五谷社稷,5,25,41194,93f5b44a
1529.08400,呃，他们两个好像还没报年龄吧，万一黑脸比红脸年龄大，岂不是尴尬,5,25,41194,93f5b44a
1347.66300,哪来的八岁，刘备比诸葛亮大27岁，诸葛亮认识刘备27年之后也死了,5,25,41194,93f5b44a
1056.46200,其实，结拜的时候老大28，老二26，老三才22岁,1,25,16777215,93f5b44a
40.80400,重看一遍,1,25,16777215,bff10d2f
1546.91600,这么感人的画面，愣是笑出来,1,25,16777215,e7c49d2e
1532.77200,哈哈哈哈哈,1,25,16777215,e7c49d2e
1478.11900,关羽：你这也算读过书？,1,25,16777215,c266e180
1511.73500,俺也一样,1,25,16777215,fcbe2bd4
1493.75500,满嘴顺口溜，你想考研啊,1,25,16777215,fcbe2bd4
1438.96600,告辞.jpg,1,25,16777215,fcbe2bd4
1430.98500,彩虹屁,1,25,16777215,fcbe2bd4
1385.67100,真的离谱,1,25,16777215,fcbe2bd4
1372.95500,传销头子，哈哈,1,25,16777215,fcbe2bd4
1831.91700,雷公助我,1,25,16777215,7e349b9e
912.04400,当众做x,5,25,16776960,99e29d8b
837.80700,好会撒泼,5,25,16776960,99e29d8b
1675.17600,主线任务三神器,1,25,16777215,7e349b9e
765.99800,二爷眼线画的好重啊,5,25,16776960,99e29d8b
1386.88200,张飞:被拉下水,1,25,16777215,97cbb130
1622.89600,拜的是福禄寿三仙，一人拜一个老师,1,25,16777215,393cb378
1935.45000,这趟在地上的就是我啊,1,25,16777215,e0d61593
1782.85700,装备差距,1,25,16777215,e0d61593
1726.58200,现在诸葛亮正考研呢,1,25,16777215,8e39bdde
1349.39300,正是在下,1,25,16777215,e0d61593
1333.04200,这里就能看出文人和武人的区别了,1,25,16777215,e0d61593
2142.43400,没钱，没东西给你了,1,25,38979,7d9ace64
2128.75300,明示收取贿赂了,1,25,38979,7d9ace64
1283.28800,你猜猜这人是谁？,1,25,16777215,e0d61593
2079.37300,从基层一刀一枪打出来的,5,25,38979,7d9ace64
1277.46200,臭卖鞋的,1,25,16777215,66d1793b
1872.23400,怎么不说你是皇室后裔呢,5,25,38979,7d9ace64
2603.50400,不得不走啊,1,25,16777215,75b3ae6e
2583.10700,我考，这............,1,25,16777215,75b3ae6e
2360.75100,民忠100%,1,25,16777215,75b3ae6e
2336.88200,那个小女孩好可爱啊,1,25,16777215,75b3ae6e
1511.12200,要来了要来了要来了要来了要来了要来了要来了要来了要来了要来了要来了要来了要来了要来了,1,25,16777215,75b3ae6e
1500.90200,要来了要来了要来了要来了要来了要来了要来了要来了要来了要来了要来了要来了要来了要来了,1,25,16777215,75b3ae6e
1492.13400,要来了要来了,1,25,16777215,75b3ae6e
1483.17600,要来了要来了要来了要来了要来了要来了,1,25,16777215,75b3ae6e
1422.83100,建议天使轮,1,25,16777215,75b3ae6e
1404.85100,确实，刘备需要投资,1,25,16777215,75b3ae6e
450.68300,历史上第一个起事的基本都是失败收场,1,25,8700107,e3428268
166.27800,因为张飞最像大众的性格,1,25,8700107,e3428268
1454.52300,查了下资料，汉朝时二十多岁算得上是已过半生了,1,25,16777215,4a90ca52
2131.42900,刘备的关系网其实还可以的,1,25,16777215,d5c3f511
1546.09600,刘备28，他们俩几岁？,1,25,16777215,d5c3f511
1517.42700,俺也一样,1,25,16777215,d5c3f511
1418.23400,我打野，关羽你走边路，张飞你去辅助,1,25,16777215,d5c3f511
1517.24200,俺也一样,5,25,16777215,5e5d924f
1355.83100,名言出处：《正是在下》,5,25,16777215,5e5d924f
2514.44400,说的话,1,25,16777215,cb8653d3
2505.94400,文化人,1,25,16777215,cb8653d3
2501.00500,绕绕,1,25,16777215,cb8653d3
2495.24400,飞啊,1,25,16777215,cb8653d3
2479.58400,好的,1,25,16777215,cb8653d3
2441.44400,阿门,1,25,16777215,cb8653d3
2435.32400,流里流气啦啦阿拉蕾,1,25,16777215,cb8653d3
2430.54400,说的话,1,25,16777215,cb8653d3
2426.14400,哈哈哈哈哈哈,1,25,16777215,cb8653d3
2404.78500,特别好,1,25,16777215,cb8653d3
2397.94400,哥哥生气了！,1,25,16777215,cb8653d3
2384.56500,口罩,1,25,16777215,cb8653d3
2323.32500,洗脑了开始,1,25,16777215,cb8653d3
2264.16400,看看进度条,1,25,16777215,cb8653d3
2245.18400,这扇子真抢眼,1,25,16777215,cb8653d3
2152.80400,你们笑死我了,1,25,16777215,cb8653d3
2150.16400,哈哈哈哈哈哈哈,1,25,16777215,cb8653d3
2143.14500,真深度,1,25,16777215,cb8653d3
2133.52400,都是演技派,1,25,16777215,cb8653d3
2069.02400,切换,1,25,16777215,cb8653d3
2020.40400,哈哈哈哈哈 这扇子,1,25,16777215,cb8653d3
2000.02400,真有气势,1,25,16777215,cb8653d3
1992.28500,宰了！,1,25,16777215,cb8653d3
1984.40400,可爱,1,25,16777215,cb8653d3
1978.76400,哥哥,1,25,16777215,cb8653d3
1971.06500,说的好,1,25,16777215,cb8653d3
1959.82400,真的是,1,25,16777215,cb8653d3
